City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
399,Iqaluit,CA,63.75,-68.51,46.4,75,40,6.93
400,Ternate,ID,0.8,127.4,82.96,72,95,1.01
401,Batticaloa,LK,7.71,81.69,78.67,78,100,5.21
402,Codajas,BR,-3.84,-62.06,74.35,91,4,2.73
403,Les Cayes,HT,18.2,-73.75,81.19,80,100,3.04
404,Grand Gaube,MU,-20.01,57.66,69.01,83,72,1.99
405,Sao Joao Da Barra,BR,-21.64,-41.05,71.87,85,81,2.3
406,Vanimo,PG,-2.67,141.3,77.68,90,100,6.51
407,Mayumba,GA,-3.43,10.66,73.49,87,100,7.02
408,Chingirlau,KZ,51.09,54.08,67.84,52,0,4.68
409,Jiaojiang,CN,28.68,121.44,91.0,60,28,3.0
410,Olinda,BR,-8.01,-34.86,77.0,83,75,13.87
411,Paredon,MX,16.03,-93.87,81.37,71,8,1.41
412,San Cristobal,VE,7.77,-72.22,77.0,69,40,10.29
413,Matara,LK,5.95,80.54,78.31,84,98,9.89
414,Puerto Baquerizo Moreno,EC,-0.9,-89.6,65.12,84,15,14.88
415,Inhambane,MZ,-23.86,35.38,66.18,73,85,15.21
416,Lluta,PE,-16.01,-72.01,47.95,50,0,3.0
417,Hays,US,30.05,-98.03,89.01,70,84,7.0
418,Dudinka,RU,69.41,86.18,32.0,72,90,4.47
419,Malartic,CA,48.13,-78.13,64.4,93,75,8.05
420,Tamboril,DO,19.49,-70.61,78.8,94,75,9.17
421,Zyryanka,RU,65.75,150.85,46.81,66,89,8.66
422,Luanda,AO,-8.84,13.23,69.8,83,40,4.7
423,Namatanai,PG,-3.67,152.43,85.89,63,4,3.6
424,Sebu,PH,6.22,124.69,80.85,68,39,3.56
425,Haines Junction,CA,60.75,-137.51,54.12,58,100,5.97
426,West Plains,US,36.73,-91.85,72.0,100,90,3.42
427,Caala,AO,-12.85,15.56,57.0,76,9,1.68
428,La Palma,US,33.85,-118.05,73.4,56,1,5.82
